fold,case_id,dice_D129,dice_D175,diff_dice_D175_minus_D129,id_rate_D129,id_rate_D175,diff_id_rate_D175_minus_D129
2,sub-verse041,0.947026,0.945673,-0.0013530000000000486,1.0,1.0,0.0
2,sub-verse047,0.953043,0.953746,0.0007030000000000092,1.0,0.941176,-0.05882399999999999
2,sub-verse058,0.928059,0.920342,-0.007716999999999974,1.0,1.0,0.0
2,sub-verse067,0.936524,0.935286,-0.0012380000000000724,1.0,1.0,0.0
2,sub-verse071,0.95267,0.9569,0.004229999999999956,1.0,1.0,0.0
2,sub-verse073,0.903111,0.904634,0.001523000000000052,1.0,1.0,0.0
2,sub-verse078,0.948139,0.950291,0.0021520000000000428,1.0,1.0,0.0
2,sub-verse080,0.940597,0.941302,0.0007049999999999557,1.0,1.0,0.0
2,sub-verse093,0.915946,0.917859,0.0019129999999999425,1.0,1.0,0.0
2,sub-verse095,0.962494,0.964838,0.0023440000000000127,1.0,0.941176,-0.05882399999999999
2,sub-verse116,0.674701,0.674719,1.799999999996249e-05,1.0,1.0,0.0
2,sub-verse124,0.893379,0.894673,0.0012940000000000174,1.0,1.0,0.0
2,sub-verse125,0.869407,0.876528,0.007120999999999933,1.0,1.0,0.0
2,sub-verse150,0.856818,0.855032,-0.0017859999999999543,1.0,0.833333,-0.166667
2,sub-verse153,0.973571,0.97214,-0.00143099999999996,1.0,1.0,0.0
2,sub-verse205,0.85521,0.857152,0.0019419999999999993,1.0,1.0,0.0
2,sub-verse221,0.891994,0.889373,-0.0026209999999999845,1.0,1.0,0.0
2,sub-verse225,0.881813,0.888331,0.006518000000000024,0.875,0.875,0.0
2,sub-verse230,0.947298,0.935181,-0.012116999999999933,1.0,1.0,0.0
2,sub-verse242,0.84992,0.858507,0.008587000000000011,1.0,1.0,0.0
2,sub-verse252,0.963536,0.963504,-3.199999999992098e-05,0.529412,0.470588,-0.05882399999999999
2,sub-verse264,0.958492,0.958479,-1.3000000000040757e-05,1.0,1.0,0.0
2,sub-verse269,0.955455,0.95574,0.0002849999999999797,0.75,0.875,0.125
2,sub-verse276,0.951226,0.952442,0.0012159999999999949,1.0,1.0,0.0
2,sub-verse400_split-verse090,0.89277,0.896099,0.0033290000000000264,1.0,1.0,0.0
2,sub-verse400_split-verse155,0.951991,0.95076,-0.0012309999999999821,1.0,1.0,0.0
2,sub-verse404_split-verse209,0.955452,0.949311,-0.006140999999999952,1.0,1.0,0.0
2,sub-verse404_split-verse256,0.974685,0.974838,0.00015299999999995872,1.0,1.0,0.0
2,sub-verse412_split-verse235,0.932098,0.895304,-0.03679399999999999,1.0,1.0,0.0
