subject_id,fold,metric,model,value,cases_aggregated
sub-verse016,1,common_matched_hd95_mm,d129,4.137433135105505,1
sub-verse016,1,common_matched_hd95_mm,d175,5.082620239750433,1
sub-verse016,1,complete_label_set_indicator,d129,0.0,1
sub-verse016,1,complete_label_set_indicator,d175,0.0,1
sub-verse016,1,foreground_dice,d129,0.960512,1
sub-verse016,1,foreground_dice,d175,0.965179,1
sub-verse016,1,identification_rate,d129,1.0,1
sub-verse016,1,identification_rate,d175,1.0,1
sub-verse016,1,label_set_jaccard,d129,0.8947368421052632,1
sub-verse016,1,label_set_jaccard,d175,0.9444444444444444,1
sub-verse016,1,macro_label_dice,d129,0.9285121794597613,1
sub-verse016,1,macro_label_dice,d175,0.9100500477234034,1
sub-verse016,1,missing_label_count,d129,0.0,1
sub-verse016,1,missing_label_count,d175,0.0,1
sub-verse016,2,common_matched_assd_mm,d129,0.18840607490201136,1
sub-verse016,2,common_matched_assd_mm,d175,0.667266515093405,1
sub-verse016,2,common_matched_hd95_mm,d129,1.1515583072083222,1
sub-verse016,2,common_matched_hd95_mm,d175,4.39479708535424,1
sub-verse016,2,complete_label_set_indicator,d129,0.0,1
sub-verse016,2,complete_label_set_indicator,d175,0.0,1
sub-verse016,2,foreground_dice,d129,0.962294,1
sub-verse016,2,foreground_dice,d175,0.964434,1
sub-verse016,2,identification_rate,d129,1.0,1
sub-verse016,2,identification_rate,d175,1.0,1
sub-verse016,2,label_set_jaccard,d129,0.8947368421052632,1
sub-verse016,2,label_set_jaccard,d175,0.8947368421052632,1
sub-verse016,2,macro_label_dice,d129,0.9573017776478122,1
sub-verse016,2,macro_label_dice,d175,0.9107343345199607,1
sub-verse016,2,missing_label_count,d129,0.0,1
sub-verse016,2,missing_label_count,d175,0.0,1
sub-verse016,3,common_matched_assd_mm,d129,0.5942689479844974,1
sub-verse016,3,common_matched_assd_mm,d175,0.4153994289566888,1
sub-verse016,3,common_matched_hd95_mm,d129,4.097752216760455,1
sub-verse016,3,common_matched_hd95_mm,d175,2.655338370892862,1
sub-verse016,3,complete_label_set_indicator,d129,0.0,1
sub-verse016,3,complete_label_set_indicator,d175,0.0,1
sub-verse016,3,foreground_dice,d129,0.963949,1
sub-verse016,3,foreground_dice,d175,0.964301,1
sub-verse016,3,identification_rate,d129,1.0,1
sub-verse016,3,identification_rate,d175,1.0,1
sub-verse016,3,label_set_jaccard,d129,0.85,1
sub-verse016,3,label_set_jaccard,d175,0.8947368421052632,1
sub-verse016,3,macro_label_dice,d129,0.9243005779606795,1
sub-verse016,3,macro_label_dice,d175,0.9438968502410388,1
sub-verse016,3,missing_label_count,d129,0.0,1
sub-verse016,3,missing_label_count,d175,0.0,1
sub-verse016,4,common_matched_assd_mm,d129,0.2170339592630468,1
sub-verse016,4,common_matched_assd_mm,d175,0.2128754715385459,1
sub-verse016,4,common_matched_hd95_mm,d129,1.2941176470588236,1
sub-verse016,4,common_matched_hd95_mm,d175,1.2979114766027047,1
sub-verse016,4,complete_label_set_indicator,d129,0.0,1
sub-verse016,4,complete_label_set_indicator,d175,0.0,1
sub-verse016,4,foreground_dice,d129,0.962485,1
sub-verse016,4,foreground_dice,d175,0.963993,1
sub-verse016,4,identification_rate,d129,1.0,1
sub-verse016,4,identification_rate,d175,1.0,1
sub-verse016,4,label_set_jaccard,d129,0.9444444444444444,1
sub-verse016,4,label_set_jaccard,d175,0.9444444444444444,1
sub-verse016,4,macro_label_dice,d129,0.9554754378756263,1
sub-verse016,4,macro_label_dice,d175,0.955882256163562,1
sub-verse016,4,missing_label_count,d129,0.0,1
sub-verse016,4,missing_label_count,d175,0.0,1
sub-verse018,0,common_matched_assd_mm,d129,0.2486548309215871,1
sub-verse018,0,common_matched_assd_mm,d175,1.0869695266784483,1
sub-verse018,0,common_matched_hd95_mm,d129,1.559838568176223,1
sub-verse018,0,common_matched_hd95_mm,d175,1.5553968150334698,1
sub-verse018,0,complete_label_set_indicator,d129,0.0,1
sub-verse018,0,complete_label_set_indicator,d175,0.0,1
sub-verse018,0,foreground_dice,d129,0.906465,1
sub-verse018,0,foreground_dice,d175,0.905692,1
sub-verse018,0,identification_rate,d129,1.0,1
sub-verse018,0,identification_rate,d175,1.0,1
sub-verse018,0,label_set_jaccard,d129,0.8,1
sub-verse018,0,label_set_jaccard,d175,0.8888888888888888,1
sub-verse018,0,macro_label_dice,d129,0.9496806047163805,1
sub-verse018,0,macro_label_dice,d175,0.9475663039720672,1
sub-verse018,0,missing_label_count,d129,0.0,1
sub-verse018,0,missing_label_count,d175,0.0,1
sub-verse018,1,common_matched_assd_mm,d129,0.5923547872002826,1
sub-verse018,1,common_matched_assd_mm,d175,0.4684624322477895,1
sub-verse018,1,common_matched_hd95_mm,d129,1.650888317845996,1
sub-verse018,1,common_matched_hd95_mm,d175,1.9700534335856656,1
sub-verse018,1,complete_label_set_indicator,d129,0.0,1
sub-verse018,1,complete_label_set_indicator,d175,0.0,1
sub-verse018,1,foreground_dice,d129,0.921914,1
sub-verse018,1,foreground_dice,d175,0.912123,1
sub-verse018,1,identification_rate,d129,1.0,1
sub-verse018,1,identification_rate,d175,1.0,1
