background,delta,simulation,mean_estimate,ci_low,ci_high,detected,subjects,folds,bootstrap_repetitions,seed
D175_minus_D129_foreground_dice,0.001,187,0.0013392270270270316,-0.001286517972972967,0.0035785766891891987,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,188,0.0025748945945945835,0.00035146040540541117,0.004491357905405375,True,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,189,0.001593975675675677,-0.0008302190540540469,0.004064372567567568,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,190,0.00040526756756756777,-0.0022646267567567645,0.00291044351351352,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,191,0.0003116486486486505,-0.0032328408108107947,0.0035070180405405394,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,192,-0.0002254216216216065,-0.002754540540540535,0.0024426994594594588,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,193,0.00248794324324324,0.0005873274999999905,0.004992420135135121,True,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,194,8.455405405404976e-05,-0.003466516486486489,0.0035883556756756718,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,195,0.0013949324324324251,-0.0006085901351351402,0.0035027618918918773,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,196,0.001671686486486482,-0.0010445321621621662,0.004380084459459444,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,197,0.0018970432432432473,-0.00035696601351351085,0.004710715405405405,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,198,0.0020453513513513525,-0.00023347540540539393,0.00485779351351352,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,199,0.0020161486486486445,-0.0010526905405405362,0.0051339758108108,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,200,0.0010243324324324288,-0.0017948427702702517,0.0037146349324324187,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,201,0.00021747567567567924,-0.0021124635810810715,0.002392549189189196,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,202,0.00023884594594595168,-0.001242546621621613,0.001975681351351353,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,203,0.0003179918918918952,-0.0032502451351351298,0.0036291138513513442,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,204,0.0022435432432432417,-9.696621621586215e-07,0.00508033797297296,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,205,0.0012975270270270281,-0.0014516658108107983,0.0035357207432432486,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,206,0.0014769216216216207,-0.00012287527027026216,0.003120730878378376,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,207,0.0006123567567567554,-0.001900069797297294,0.0028987591216216146,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,208,0.003066402702702703,0.0011937758783783757,0.005369919594594591,True,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,209,-0.0003724351351351359,-0.0035574606756756688,0.0024291370270270248,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,210,-0.0003169756756756849,-0.003495557297297304,0.0025720270945945784,False,37,5,2000,20260716
D175_minus_D129_foreground_dice,0.001,211,0.00037797837837837427,-0.0031049672972972998,0.003246206486486487,False,37,5,2000,20260716
